Suburb,LGA,Postcode
Milton,Brisbane,4064
Paddington,Brisbane,4064
Bardon,Brisbane,4065
Auchenflower,Brisbane,4066
Mount Coot-tha,Brisbane,4066
Toowong,Brisbane,4066
St Lucia,Brisbane,4067
Chelmer,Brisbane,4068
Indooroopilly,Brisbane,4068
Taringa,Brisbane,4068
Brookfield,Brisbane,4069
Chapel Hill,Brisbane,4069
Fig Tree Pocket,Brisbane,4069
Kenmore,Brisbane,4069
Kenmore Hills,Brisbane,4069
Pinjarra Hills,Brisbane,4069
Pullenvale,Brisbane,4069
Upper Brookfield,Brisbane,4069
Anstead,Brisbane,4070
Bellbowrie,Brisbane,4070
Moggill,Brisbane,4070
Seventeen Mile Rocks,Brisbane,4073
Sinnamon Park,Brisbane,4073
Jamboree Heights,Brisbane,4074
Jindalee,Brisbane,4074
Middle Park,Brisbane,4074
Mount Ommaney,Brisbane,4074
Riverhills,Brisbane,4074
Sumner,Brisbane,4074
Westlake,Brisbane,4074
Corinda,Brisbane,4075
Graceville,Brisbane,4075
Oxley,Brisbane,4075
Sherwood,Brisbane,4075
Darra,Brisbane,4076
Wacol,Brisbane,4076
Doolandella,Brisbane,4077
Durack,Brisbane,4077
Inala,Brisbane,4077
Richlands,Brisbane,4077
Ellen Grove,Brisbane,4078
Forest Lake,Brisbane,4078
Highgate Hill,Brisbane,4101
South Brisbane,Brisbane,4101
West End,Brisbane,4101
Dutton Park,Brisbane,4102
Woolloongabba,Brisbane,4102
Annerley,Brisbane,4103
Fairfield,Brisbane,4103
Yeronga,Brisbane,4104
Moorooka,Brisbane,4105
Tennyson,Brisbane,4105
Yeerongpilly,Brisbane,4105
Rocklea,Brisbane,4106
Salisbury,Brisbane,4107
Archerfield,Brisbane,4108
Coopers Plains,Brisbane,4108
MacGregor,Brisbane,4109
Robertson,Brisbane,4109
Sunnybank,Brisbane,4109
Sunnybank Hills,Brisbane,4109
Acacia Ridge,Brisbane,4110
Heathwood,Brisbane,4110
Larapinta,Brisbane,4110
Pallara,Brisbane,4110
Willawong,Brisbane,4110
Nathan,Brisbane,4111
Kuraby,Brisbane,4112
Eight Mile Plains,Brisbane,4113
Runcorn,Brisbane,4113
Kingston,Logan,4114
Logan Central,Logan,4114
Woodridge,Logan,4114
Algester,Brisbane,4115
Parkinson,Brisbane,4115
Calamvale,Brisbane,4116
Drewvale,Brisbane,4116
Stretton,Brisbane,4116
Karawatha,Brisbane,4117
Berrinba,Logan,4117
Browns Plains,Logan,4118
Forestdale,Logan,4118
Heritage Park,Logan,4118
Hillcrest,Logan,4118
Regents Park,Logan,4118
Underwood,Logan,4119
Greenslopes,Brisbane,4120
Stones Corner,Brisbane,4120
Holland Park,Brisbane,4121
Holland Park West,Brisbane,4121
Tarragindi,Brisbane,4121
Mansfield,Brisbane,4122
Mount Gravatt,Brisbane,4122
Mount Gravatt East,Brisbane,4122
Upper Mount Gravatt,Brisbane,4122
Wishart,Brisbane,4122
Rochedale,Brisbane,4123
Rochedale South,Logan,4123
Spring Mountain,Ipswich,4124
Boronia Heights,Logan,4124
Greenbank,Logan,4124
Lyons,Logan,4124
New Beith,Logan,4124
Silverbark Ridge,Logan,4124
Munruben,Logan,4125
Park Ridge,Logan,4125
Park Ridge South,Logan,4125
Daisy Hill,Logan,4127
Priestdale,Logan,4127
Slacks Creek,Logan,4127
Springwood,Logan,4127
Shailer Park,Logan,4128
Tanah Merah,Logan,4128
Loganholme,Logan,4129
Carbrook,Logan,4130
Cornubia,Logan,4130
Loganlea,Logan,4131
Meadowbrook,Logan,4131
Crestmead,Logan,4132
Marsden,Logan,4132
Chambers Flat,Logan,4133
Logan Reserve,Logan,4133
Waterford,Logan,4133
Waterford West,Logan,4133
Coorparoo,Brisbane,4151
Camp Hill,Brisbane,4152
Carina,Brisbane,4152
Carina Heights,Brisbane,4152
Carindale,Brisbane,4152
Belmont,Brisbane,4153
Gumdale,Brisbane,4154
Ransome,Brisbane,4154
Wakerley,Brisbane,4154
Chandler,Brisbane,4155
Burbank,Brisbane,4156
Mackenzie,Brisbane,4156
Capalaba,Redland,4157
Sheldon,Redland,4157
Thorneside,Redland,4158
Birkdale,Redland,4159
Ormiston,Redland,4160
Wellington Point,Redland,4160
Alexandra Hills,Redland,4161
Cleveland,Redland,4163
Thornlands,Redland,4164
Mount Cotton,Redland,4165
Redland Bay,Redland,4165
Victoria Point,Redland,4165
East Brisbane,Brisbane,4169
Kangaroo Point,Brisbane,4169
Cannon Hill,Brisbane,4170
Morningside,Brisbane,4170
Norman Park,Brisbane,4170
Seven Hills,Brisbane,4170
Balmoral,Brisbane,4171
Bulimba,Brisbane,4171
Hawthorne,Brisbane,4171
Murarrie,Brisbane,4172
Tingalpa,Brisbane,4173
Hemmant,Brisbane,4174
Lytton,Brisbane,4178
Port of Brisbane,Brisbane,4178
Wynnum,Brisbane,4178
Wynnum West,Brisbane,4178
Lota,Brisbane,4179
Manly,Brisbane,4179
Manly West,Brisbane,4179
